time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/fps,train/critic_loss,train/actor_loss,train/n_updates,train/ent_coef_loss,train/learning_rate,train/ent_coef,eval/mean_reward,eval/mean_ep_length
728,500.0,13191.330593089997,815,364000,446,,,,,,,,
732,500.0,13187.4830283,823,368000,446,30.218327159881593,-2352.3271630859376,44700,-0.005247498699463904,0.0003,0.7199349904060364,,
736,500.0,13187.4830283,823,368000,446,,,,,,,,
740,500.0,13177.680713570004,832,372000,446,24.804753036499022,-2370.84287109375,45200,-0.009638649579137563,0.0003,0.6912926518917084,,
744,500.0,13177.680713570004,832,372000,446,,,,,,,,
748,500.0,13176.29566637,841,376000,446,31.92472152709961,-2380.08697265625,45700,-0.005126478192396462,0.0003,0.6759239161014556,,
752,500.0,13176.29566637,841,376000,446,,,,,,,,
756,500.0,13180.10073436,850,380000,446,30.478848896026612,-2403.818017578125,46200,-0.014367528697475792,0.0003,0.6493576872348785,,
760,500.0,13180.10073436,850,380000,446,,,,,,,,
764,500.0,13176.956165299995,858,384000,447,28.03979824066162,-2409.9644677734377,46700,-0.008134715957567096,0.0003,0.639487634897232,,
768,500.0,13176.956165299995,858,384000,447,,,,,,,,
772,500.0,13168.09934476,867,388000,447,28.091272525787353,-2432.5651025390625,47200,-0.018284792620688675,0.0003,0.6204909408092498,,
776,500.0,13168.09934476,867,388000,447,,,,,,,,
780,500.0,13180.16222553,876,392000,447,28.05063938140869,-2444.666328125,47700,-0.0151183389313519,0.0003,0.5966299092769622,,
784,500.0,13180.16222553,876,392000,447,,,,,,,,
788,500.0,13191.21804387,885,396000,447,28.75299596786499,-2457.984853515625,48200,-0.019407886397093534,0.0003,0.5574773299694061,,
792,500.0,13191.21804387,885,396000,447,,,,,,,,
,,,,400000,,28.452310276031493,-2472.764931640625,48700,-0.027542971409857273,0.0003,0.5150678157806396,13291.3579084,500.0
796,500.0,13183.71769541,897,400000,445,,,,,,,,
800,500.0,13183.71769541,897,400000,445,,,,,,,,
804,500.0,13186.30777524,906,404000,445,28.468791179656982,-2484.08078125,49200,-0.014232962792739272,0.0003,0.48264321565628054,,
808,500.0,13186.30777524,906,404000,445,,,,,,,,
812,500.0,13190.67768448,915,408000,445,21.43204294204712,-2503.3537451171874,49700,-0.0320057747233659,0.0003,0.46608857691287997,,
816,500.0,13190.67768448,915,408000,445,,,,,,,,
820,500.0,13184.448556010002,924,412000,445,24.075555553436278,-2520.6332177734375,50200,-0.025192626286298037,0.0003,0.4447164809703827,,
824,500.0,13184.448556010002,924,412000,445,,,,,,,,
828,500.0,13193.109259580002,932,416000,445,25.215553817749022,-2533.850224609375,50700,-0.026526962257921696,0.0003,0.41829402923583986,,
832,500.0,13193.109259580002,932,416000,445,,,,,,,,
836,500.0,13203.95241771,941,420000,446,27.108452072143553,-2549.0969580078126,51200,-0.03417124189436436,0.0003,0.39667351901531217,,
840,500.0,13203.95241771,941,420000,446,,,,,,,,
844,500.0,13202.155342650001,950,424000,446,24.541187229156495,-2570.754150390625,51700,-0.06158885141834616,0.0003,0.3768238830566406,,
848,500.0,13202.155342650001,950,424000,446,,,,,,,,
852,500.0,13206.034346850001,959,428000,446,26.479520874023436,-2582.5074755859373,52200,-0.004473494682461023,0.0003,0.3559679925441742,,
856,500.0,13206.034346850001,959,428000,446,,,,,,,,
860,500.0,13208.88702508,967,432000,446,27.730159282684326,-2598.09927734375,52700,-0.0510734723135829,0.0003,0.33703231751918794,,
864,500.0,13208.88702508,967,432000,446,,,,,,,,
868,500.0,13214.165100990002,976,436000,446,24.32355628013611,-2610.767958984375,53200,-0.06577099662274122,0.0003,0.30947673559188843,,
872,500.0,13214.165100990002,976,436000,446,,,,,,,,
876,500.0,13214.203499180005,985,440000,446,20.539614582061766,-2619.382060546875,53700,-0.07247647508978844,0.0003,0.28214823722839355,,
880,500.0,13214.203499180005,985,440000,446,,,,,,,,
884,500.0,13207.222430799999,994,444000,446,23.45696382522583,-2630.2034130859374,54200,-0.11375474873930216,0.0003,0.24918898910284043,,
888,500.0,13207.222430799999,994,444000,446,,,,,,,,
892,500.0,13213.149393960002,1002,448000,446,25.046141033172606,-2638.0167431640625,54700,-0.07993773963302374,0.0003,0.21941061705350876,,
896,500.0,13213.149393960002,1002,448000,446,,,,,,,,
900,500.0,13213.504718889999,1011,452000,446,26.05624387741089,-2643.01044921875,55200,-0.07431488431990146,0.0003,0.2012960147857666,,
904,500.0,13213.504718889999,1011,452000,446,,,,,,,,
908,500.0,13219.32954071,1020,456000,446,21.4926980304718,-2653.0600048828123,55700,-0.08458644025027752,0.0003,0.184275498688221,,
912,500.0,13219.32954071,1020,456000,446,,,,,,,,
916,500.0,13214.362972210001,1029,460000,446,27.277794380187988,-2659.4143408203126,56200,-0.14478511326014995,0.0003,0.167106297314167,,
920,500.0,13214.362972210001,1029,460000,446,,,,,,,,
924,500.0,13211.79281136,1038,464000,446,19.592076778411865,-2666.187294921875,56700,-0.10583720680326224,0.0003,0.15252368539571762,,
928,500.0,13211.79281136,1038,464000,446,,,,,,,,
932,500.0,13211.5796802,1046,468000,447,18.498490934371947,-2674.380771484375,57200,0.12196791984140873,0.0003,0.14867295295000077,,
936,500.0,13211.5796802,1046,468000,447,,,,,,,,
940,500.0,13212.1151658,1055,472000,447,18.402123641967773,-2682.0599560546875,57700,-0.05570110458880663,0.0003,0.14655649185180664,,
944,500.0,13212.1151658,1055,472000,447,,,,,,,,
948,500.0,13225.690817810004,1064,476000,447,16.62802695274353,-2690.087958984375,58200,-0.11827880010008812,0.0003,0.14040037304162978,,
952,500.0,13225.690817810004,1064,476000,447,,,,,,,,
,,,,480000,,16.953454632759094,-2697.8442431640624,58700,-0.058491372279822824,0.0003,0.13161227941513062,13415.8406516,500.0
956,500.0,13223.283380720002,1077,480000,445,,,,,,,,
960,500.0,13223.283380720002,1077,480000,445,,,,,,,,
964,500.0,13218.74482626,1085,484000,445,17.305211658477784,-2702.7523974609376,59200,-0.11863897301256657,0.0003,0.12446648806333542,,
968,500.0,13218.74482626,1085,484000,445,,,,,,,,
972,500.0,13227.56109382,1094,488000,445,21.929097771644592,-2709.8223974609373,59700,-0.059459552094340326,0.0003,0.11774836793541908,,
976,500.0,13227.56109382,1094,488000,445,,,,,,,,
980,500.0,13235.5998952,1103,492000,445,17.41735667705536,-2716.3423095703124,60200,-0.29843588307499885,0.0003,0.10786599338054657,,
984,500.0,13235.5998952,1103,492000,445,,,,,,,,
988,500.0,13232.657526839997,1112,496000,445,17.483712587356568,-2722.9633203125,60700,-0.3549890397489071,0.0003,0.0924727539718151,,
992,500.0,13232.657526839997,1112,496000,445,,,,,,,,
996,500.0,13236.56246409,1120,500000,446,16.195997171401977,-2728.167109375,61200,0.07353360176086426,0.0003,0.08397320374846458,,
1000,500.0,13236.56246409,1120,500000,446,,,,,,,,
