train/learning_rate,rollout/ep_len_mean,time/episodes,train/n_updates,time/total_timesteps,train/critic_loss,time/fps,train/actor_loss,rollout/ep_rew_mean,time/time_elapsed,train/ent_coef,eval/mean_reward,eval/mean_ep_length
0.0003,500.0,932,71056,472000,367.5723285675049,707,1566.6619567871094,-6686.035555429999,666,0.10000000149011612,,
,500.0,936,,472000,,707,,-6686.035555429999,666,,,
,500.0,940,,472000,,707,,-6686.035555429999,666,,,
,500.0,944,,472000,,707,,-6686.035555429999,666,,,
0.0003,,,71552,480000,242.37563371658325,,1567.198974609375,,,0.10000000149011612,-6765.8322472,500.0
,500.0,948,,480000,,707,,-6683.63202101,678,,,
,500.0,952,,480000,,707,,-6683.63202101,678,,,
,500.0,956,,480000,,707,,-6683.63202101,678,,,
,500.0,960,,480000,,707,,-6683.63202101,678,,,
0.0003,500.0,964,72064,488000,272.8458604812622,710,1572.284683227539,-6622.96913583,687,0.10000000149011612,,
,500.0,968,,488000,,710,,-6622.96913583,687,,,
,500.0,972,,488000,,710,,-6622.96913583,687,,,
,500.0,976,,488000,,710,,-6622.96913583,687,,,
0.0003,,,72192,490000,262.79991912841797,,1568.5479278564453,,,0.10000000149011612,-6137.7709728,500.0
0.0003,500.0,980,72560,496000,366.23427057266235,709,1573.155662536621,-6758.8340078599995,698,0.10000000149011612,,
,500.0,984,,496000,,709,,-6758.8340078599995,698,,,
,500.0,988,,496000,,709,,-6758.8340078599995,698,,,
,500.0,992,,496000,,709,,-6758.8340078599995,698,,,
0.0003,,,72816,500000,300.7812571525574,,1574.6050338745117,,,0.10000000149011612,-7033.1224408,500.0
