train/n_updates,train/actor_loss,train/critic_loss,train/ent_coef,rollout/ep_len_mean,time/total_timesteps,train/ent_coef_loss,time/time_elapsed,rollout/ep_rew_mean,time/episodes,train/learning_rate,time/fps,eval/mean_reward,eval/mean_ep_length
,,,,500.0,1224192,,356,-669.44708117,2444,,515,,
163871,1972.2442626953125,332.949951171875,0.9267208576202393,500.0,1232192,-0.005802476778626442,370,-651.0875521100002,2448,0.0003,517,,
,,,,500.0,1232192,,370,-651.0875521100002,2452,,517,,
,,,,500.0,1232192,,370,-651.0875521100002,2456,,517,,
,,,,500.0,1232192,,370,-651.0875521100002,2460,,517,,
164371,1949.1846923828125,338.0168151855469,0.9114335775375366,,1240192,0.0005303528159856796,,,,0.0003,,-728.2139426,500.0
,,,,500.0,1240192,,388,-666.2008399099999,2464,,514,,
,,,,500.0,1240192,,388,-666.2008399099999,2468,,514,,
,,,,500.0,1240192,,388,-666.2008399099999,2472,,514,,
,,,,500.0,1240192,,388,-666.2008399099999,2476,,514,,
164871,1912.9168701171875,310.34124755859375,0.8981019854545593,500.0,1248192,-0.003783492837101221,401,-643.7148063600001,2480,0.0003,517,,
,,,,500.0,1248192,,401,-643.7148063600001,2484,,517,,
,,,,500.0,1248192,,401,-643.7148063600001,2488,,517,,
,,,,500.0,1248192,,401,-643.7148063600001,2492,,517,,
165371,1870.00146484375,290.4222717285156,0.8951652646064758,500.0,1256192,0.0028377524577081203,415,-653.52116204,2496,0.0003,519,,
,,,,500.0,1256192,,415,-653.52116204,2500,,519,,
,,,,500.0,1256192,,415,-653.52116204,2504,,519,,
,,,,500.0,1256192,,415,-653.52116204,2508,,519,,
165621,1857.76708984375,273.01318359375,0.9059624671936035,,1260192,0.00046023528557270765,,,,0.0003,,-435.42698140000005,500.0
165871,1842.964111328125,296.1104736328125,0.8803648352622986,500.0,1264192,-0.004496284294873476,434,-668.8283511499999,2512,0.0003,516,,
,,,,500.0,1264192,,434,-668.8283511499999,2516,,516,,
,,,,500.0,1264192,,434,-668.8283511499999,2520,,516,,
,,,,500.0,1264192,,434,-668.8283511499999,2524,,516,,
166371,1794.622802734375,226.34017944335938,0.8504863381385803,500.0,1272192,-0.011190295219421387,448,-656.53858758,2528,0.0003,517,,
,,,,500.0,1272192,,448,-656.53858758,2532,,517,,
,,,,500.0,1272192,,448,-656.53858758,2536,,517,,
,,,,500.0,1272192,,448,-656.53858758,2540,,517,,
166871,1783.6129150390625,218.77938842773438,0.8620692491531372,,1280192,0.0006002403097227216,,,,0.0003,,-496.5047536,500.0
,,,,500.0,1280192,,465,-679.8327440999998,2544,,515,,
,,,,500.0,1280192,,465,-679.8327440999998,2548,,515,,
,,,,500.0,1280192,,465,-679.8327440999998,2552,,515,,
,,,,500.0,1280192,,465,-679.8327440999998,2556,,515,,
167371,1745.2957763671875,264.01806640625,0.8363295197486877,500.0,1288192,-0.00859120488166809,479,-667.4651865699999,2560,0.0003,517,,
