rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,time/fps,time/time_elapsed,time/total_timesteps,train/learning_rate,train/n_updates,train/actor_loss,train/ent_coef_loss,train/critic_loss,train/ent_coef,eval/mean_ep_length,eval/mean_reward
14859.714571679999,500.0,804,451,894,404000,0.0003,49200,-2520.5528564453125,-0.004411097597330809,375.2144744873047,2.712715187072754,,
14859.714571679999,500.0,808,451,894,404000,,,,,,,,
14855.30146445,500.0,812,451,903,408000,0.0003,49700,-2532.2169921875,0.009156141141429543,376.323610534668,2.6542575311660768,,
14855.30146445,500.0,816,451,903,408000,,,,,,,,
14977.649766859997,500.0,820,451,911,412000,0.0003,50200,-2545.977578125,0.004037674479186535,379.3642544555664,2.6295704889297484,,
14977.649766859997,500.0,824,451,911,412000,,,,,,,,
14853.518958979996,500.0,828,451,920,416000,0.0003,50700,-2554.6312548828123,-0.003316706642508507,381.0879235839844,2.5924991464614866,,
14853.518958979996,500.0,832,451,920,416000,,,,,,,,
14917.114564619998,500.0,836,452,928,420000,0.0003,51200,-2563.5004833984376,0.0027587993256747725,382.16977355957033,2.534218397140503,,
14917.114564619998,500.0,840,452,929,420000,,,,,,,,
14888.11102605,500.0,844,452,937,424000,0.0003,51700,-2580.8890283203127,0.01889269696548581,420.96387786865233,2.4993358516693114,,
14888.11102605,500.0,848,452,937,424000,,,,,,,,
14876.29409126,500.0,852,452,946,428000,0.0003,52200,-2584.7676611328125,0.014016630090773106,431.13816314697266,2.4754304552078246,,
14876.29409126,500.0,856,452,946,428000,,,,,,,,
14841.685108119997,500.0,860,452,954,432000,0.0003,52700,-2595.5043115234375,0.0033153372164815664,423.77012023925784,2.4372240686416626,,
14841.685108119997,500.0,864,452,954,432000,,,,,,,,
14801.381909009999,500.0,868,452,963,436000,0.0003,53200,-2603.106728515625,0.008253971971571445,435.32769897460935,2.440764126777649,,
14801.381909009999,500.0,872,452,963,436000,,,,,,,,
14502.872682599998,500.0,876,452,971,440000,0.0003,53700,-2616.8192919921876,-0.00654913168400526,435.1673175048828,2.397113571166992,,
14502.872682599998,500.0,880,452,971,440000,,,,,,,,
14437.976246299997,500.0,884,452,981,444000,0.0003,54200,-2623.431630859375,-0.005170150771737099,433.8348022460938,2.419347801208496,,
14437.976246299997,500.0,888,452,981,444000,,,,,,,,
14418.11788114,500.0,892,451,991,448000,0.0003,54700,-2634.5305224609374,0.014022623244673014,413.74841796875,2.41569673538208,,
14418.11788114,500.0,896,451,991,448000,,,,,,,,
14538.734295299999,500.0,900,451,1000,452000,0.0003,55200,-2644.1256982421874,-0.005809723809361458,448.34271911621096,2.4062717628479002,,
14538.734295299999,500.0,904,451,1000,452000,,,,,,,,
14559.029396520002,500.0,908,451,1008,456000,0.0003,55700,-2654.128359375,-0.004115602988749742,416.6925750732422,2.3906609535217287,,
14559.029396520002,500.0,912,451,1008,456000,,,,,,,,
14531.239518850003,500.0,916,452,1017,460000,0.0003,56200,-2664.8866455078123,-0.0111742202937603,405.60990661621094,2.387411108016968,,
14531.239518850003,500.0,920,452,1017,460000,,,,,,,,
14435.800314790002,500.0,924,452,1025,464000,0.0003,56700,-2671.248369140625,0.01215781133621931,420.5116870117188,2.394281435012817,,
14435.800314790002,500.0,928,452,1025,464000,,,,,,,,
14525.548380950006,500.0,932,452,1034,468000,0.0003,57200,-2679.970615234375,0.01664221743121743,422.2559188842773,2.3938569736480715,,
14525.548380950006,500.0,936,452,1034,468000,,,,,,,,
14427.91338207,500.0,940,452,1042,472000,0.0003,57700,-2684.25037109375,0.0037144388630986212,408.03578521728514,2.3654304218292235,,
14427.91338207,500.0,944,452,1042,472000,,,,,,,,
14327.5161895,500.0,948,452,1051,476000,0.0003,58200,-2692.5839404296876,0.010890249945223331,415.18688201904297,2.3457610702514646,,
14327.5161895,500.0,952,452,1051,476000,,,,,,,,
,,,,,480000,0.0003,58700,-2701.067705078125,0.0167907340452075,422.7946026611328,2.318439474105835,500.0,11733.825066399999
14169.85410501,500.0,956,451,1064,480000,,,,,,,,
14169.85410501,500.0,960,451,1064,480000,,,,,,,,
14131.383188139996,500.0,964,451,1072,484000,0.0003,59200,-2708.3432958984376,0.000638339314609766,413.77365142822265,2.2988684511184694,,
14131.383188139996,500.0,968,451,1072,484000,,,,,,,,
14125.302248610002,500.0,972,451,1081,488000,0.0003,59700,-2713.72767578125,0.012083828449249268,401.0192788696289,2.2540287160873413,,
14125.302248610002,500.0,976,451,1081,488000,,,,,,,,
14034.77533799,500.0,980,451,1089,492000,0.0003,60200,-2718.926572265625,-0.0017449362576007843,438.71727294921874,2.2483474349975587,,
14034.77533799,500.0,984,451,1089,492000,,,,,,,,
14016.630948189997,500.0,988,451,1098,496000,0.0003,60700,-2725.64197265625,-0.004128418797627091,442.4459356689453,2.2817778301239016,,
14016.630948189997,500.0,992,451,1098,496000,,,,,,,,
13694.665963929998,500.0,996,451,1106,500000,0.0003,61200,-2725.1919140625,0.006027036104351282,443.6709234619141,2.2998179149627687,,
13694.665963929998,500.0,1000,451,1106,500000,,,,,,,,
13590.533451220002,500.0,1004,451,1115,504000,0.0003,61700,-2731.7582080078123,0.002107270434498787,435.83766296386716,2.2966413784027098,,
13590.533451220002,500.0,1008,451,1115,504000,,,,,,,,
13399.593831240001,500.0,1012,452,1123,508000,0.0003,62200,-2736.4531005859376,0.007231597695499659,453.6476751708984,2.2852707290649414,,
13399.593831240001,500.0,1016,452,1123,508000,,,,,,,,
13273.529278799999,500.0,1020,452,1132,512000,0.0003,62700,-2737.694208984375,0.011893520038574934,466.7810931396484,2.2883861207962037,,
13273.529278799999,500.0,1024,452,1132,512000,,,,,,,,
13294.5745673,500.0,1028,452,1140,516000,0.0003,63200,-2744.194990234375,-0.009495054371654987,493.4266815185547,2.2768680810928346,,
13294.5745673,500.0,1032,452,1140,516000,,,,,,,,
13212.127375889999,500.0,1036,452,1149,520000,0.0003,63700,-2747.008212890625,0.009877717457711696,513.44859375,2.2688920545578,,
13212.127375889999,500.0,1040,452,1149,520000,,,,,,,,
13278.629611170001,500.0,1044,452,1157,524000,0.0003,64200,-2755.00302734375,0.018656072318553926,515.7040087890625,2.251413960456848,,
13278.629611170001,500.0,1048,452,1157,524000,,,,,,,,
13352.687219729998,500.0,1052,452,1166,528000,0.0003,64700,-2758.5481396484374,0.008904796577990055,510.87490112304687,2.2279198741912842,,
13352.687219729998,500.0,1056,452,1166,528000,,,,,,,,
13457.47895335,500.0,1060,452,1174,532000,0.0003,65200,-2761.617822265625,0.0020053642708808186,534.209326171875,2.2291725873947144,,
13457.47895335,500.0,1064,452,1174,532000,,,,,,,,
13508.924767100001,500.0,1068,452,1183,536000,0.0003,65700,-2769.6442138671873,-0.0043758988566696645,513.4837609863281,2.2106709909439086,,
13508.924767100001,500.0,1072,452,1183,536000,,,,,,,,
13728.942981130001,500.0,1076,453,1191,540000,0.0003,66200,-2775.296064453125,0.010371169475838542,499.1157067871094,2.1624599742889403,,
13728.942981130001,500.0,1080,453,1191,540000,,,,,,,,
13791.540463190002,500.0,1084,453,1200,544000,0.0003,66700,-2777.480029296875,0.00987025685608387,546.5026782226563,2.1526985788345336,,
13791.540463190002,500.0,1088,453,1200,544000,,,,,,,,
14059.07443632,500.0,1092,453,1208,548000,0.0003,67200,-2783.326513671875,8.838243782520294e-05,569.251675415039,2.123232374191284,,
14059.07443632,500.0,1096,453,1208,548000,,,,,,,,
14129.924088040001,500.0,1100,453,1217,552000,0.0003,67700,-2789.9969384765627,-0.0038074735552072526,605.2963702392578,2.1188928174972532,,
14129.924088040001,500.0,1104,453,1217,552000,,,,,,,,
